题目名称,算法类型,累计错误次数,复习次数,上次复习日期,掌握程度(1-5),间隔天数,下次复习日期
前 K 个高频元素,堆,6,1,2026-07-24,1,1,2026-07-25
k个最大元素,堆,1,0,2026-07-23,3,7,2026-07-30
合并k个有序链表,堆+链表,3,0,2026-07-23,2,3,2026-07-26
无重复的最长字串,滑动窗口,3,0,2026-07-23,2,3,2026-07-26
三数之和,双指针,6,1,2026-07-24,1,1,2026-07-25
四数之和,双指针,7,1,2026-07-24,1,1,2026-07-25
k个最大元素(快选),快速选择,17,1,2026-07-24,1,1,2026-07-25
最大子数组和,DP,8,1,2026-07-24,1,1,2026-07-25
最大子数组和(分治),分治,7,1,2026-07-24,1,1,2026-07-25
LRU缓存,设计,11,1,2026-07-24,1,1,2026-07-25
LFU缓存,设计,5,0,2026-07-24,1,1,2026-07-25
