错误分类,次数,占比,典型题目,根因总结
逻辑-变量混淆,3,8%,最大子数组和/分治,"变量既当累加器又当结果，或跨不同上下文复用"
语法-拼写,3,8%,前K高频/最大子数组和/分治,"Kotlin 类名方法名大小写不熟，打字太快不检查"
逻辑-概念混淆,2,5%,k个最大元素(快选),"值当索引、swap 第二个参数是值还是索引分不清"
逻辑-变量覆盖,2,5%,k个最大元素(快选),"函数内 var 覆盖了参数名，导致后续逻辑全错"
逻辑-边界,2,5%,无重复字串/最大子数组和(分治),"条件写反、递归排除中间值导致越界"
逻辑-数据错误,2,5%,三数之和/四数之和,"脑子里想的是值，手打的却是索引——返回值类型意识弱"
逻辑-参数,2,5%,四数之和/k个最大元素(快选),"target 硬编码、右边界忘记 -1"
逻辑-比较器,1,3%,前K高频,"堆的比较器方向——到底按谁排序？值还是频率？"
逻辑-遍历对象,1,3%,前K高频,"该遍历去重后的 key 还是原始数组？思路跳跃太快"
逻辑-死循环,1,3%,合并k有序链表,"peek vs poll 的区别没刻进肌肉记忆"
逻辑-指针,1,3%,合并k有序链表,"链表题通病：只改 next 忘了把自己移过去"
逻辑-收缩位置,1,3%,无重复字串,"left 该跳 preIndex+1 还是 right-1？窗口语义理解不深"
逻辑-去重,1,3%,三数之和,"i>0 前置条件容易漏"
逻辑-前置条件,1,3%,四数之和,"双指针必须先排序——写了外层忘了前置"
逻辑-越界,1,3%,四数之和,"i<size-3 防不了 nums[i-1]"
逻辑-递推公式,1,3%,最大子数组和,"dp[i] 用了自己而非 dp[i-1]"
逻辑-返回值,1,3%,最大子数组和,"返回 dp[n-1] 而非全局 max"
逻辑-初始化,1,3%,最大子数组和,"maxSum=0 全负数数组直接答错"
逻辑-判断对象,1,3%,k个最大元素(快选),"nums[partition]==nums[targetIndex] 比的是值不是索引"
语法-lambda,1,3%,合并k有序链表,"Java 写多了，Kotlin '{ it -> }' 不熟"
语法-when,1,3%,三数之和,"when 表达式花括号不是可选的"
语法-函数引用,1,3%,k个最大元素,"未绑定引用 vs 绑定引用"
语法-返回,1,3%,最大子数组和,"函数体末尾忘写 return"
语法-冗余,1,3%,k个最大元素(快选),"return when { return } 双层 return"
语法-命名,1,3%,k个最大元素(快选),"方法名与 Kotlin 标准库撞车"
语法-无用导入,1,3%,k个最大元素(快选),"写了 import 但没用"
类型-泛型,1,3%,无重复字串,"String 和 Char 混用"
类型-返回,1,3%,前K高频,"返回 List 但签名要 IntArray"
类型-初始化,1,3%,最大子数组和,"var x=null 无法用于 maxOf"
